Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176558,USB-C Charging Cable,2,11.95,04/19/19 08:46,917 1st St, Dallas, TX 75001
176559,Bose SoundSport Headphones,1,99.99,04/07/19 22:30,682 Chestnut St, Boston, MA 02215
176560,Google Phone,1,600,04/12/19 14:38,669 Spruce St, Los Angeles, CA 90001
176560,Wired Headphones,1,11.99,04/12/19 14:38,669 Spruce St, Los Angeles, CA 90001
176561,Wired Headphones,1,11.99,04/30/19 09:27,333 8th St, Los Angeles, CA 90001
176562,USB-C Charging Cable,1,11.95,04/29/19 13:03,381 Wilson St, San Francisco, CA 94016
176563,Bose SoundSport Headphones,1,99.99,04/02/19 07:46,668 Center St, Seattle, WA 98101
176564,USB-C Charging Cable,1,11.95,04/12/19 10:58,790 Ridge St, Atlanta, GA 30301
176565,Macbook Pro Laptop,1,1700,04/24/19 10:38,915 Willow St, San Francisco, CA 94016
176566,Wired Headphones,1,11.99,04/08/19 14:05,83 7th St, Boston, MA 02215
176567,Google Phone,1,600,04/18/19 17:18,444 7th St, Los Angeles, CA 90001
176568,Macbook Pro Laptop,1,1700,04/15/19 18:02,542 10th St, New York City, NY 10001
176569,27in 4K Gaming Monitor,1,389.99,04/16/19 19:23,657 Hill St, Dallas, TX 75001
176570,Wired Headphones,1,11.99,04/22/19 15:09,358 12th St, San Francisco, CA 94016
176571,Google Phone,1,600,04/19/19 14:29,253 Johnson St, Atlanta, GA 30301
176572,Apple Airpods Headphones,1,150,04/04/19 20:30,149 Dogwood St, New York City, NY 10001
176573,USB-C Charging Cable,1,11.95,04/27/19 18:41,214 Chestnut St, San Francisco, CA 94016
176574,Google Phone,1,600,04/03/19 19:42,20 Hill St, Los Angeles, CA 90001
176574,USB-C Charging Cable,1,11.95,04/03/19 19:42,20 Hill St, Los Angeles, CA 90001
176575,Apple Airpods Headphones,1,150,04/08/19 18:25,592 1st St, San Francisco, CA 94016
176576,Macbook Pro Laptop,1,1700,04/28/19 15:51,902 2nd St, Los Angeles, CA 90001
176577,27in FHD Monitor,1,149.99,04/22/19 20:57,622 Center St, New York City, NY 10001
176578,Apple Airpods Headphones,1,150,04/09/19 23:35,573 Maple St, San Francisco, CA 94016
176579,AA Batteries (4-pack),1,3.84,04/11/19 10:23,886 Jefferson St, New York City, NY 10001
176580,USB-C Charging Cable,1,11.95,04/09/19 21:13,125 5th St, Atlanta, GA 30301
176581,Apple Airpods Headphones,1,150,04/09/19 21:45,260 Maple St, San Francisco, CA 94016
176582,USB-C Charging Cable,1,11.95,04/02/19 11:21,733 4th St, San Francisco, CA 94016
176583,AAA Batteries (4-pack),2,2.99,04/20/19 12:00,146 7th St, New York City, NY 10001
176584,Flatscreen TV,1,300,04/24/19 20:39,936 Church St, San Francisco, CA 94016
176585,27in FHD Monitor,1,149.99,04/07/19 11:31,83 8th St, Boston, MA 02215
176586,Google Phone,1,600,04/10/19 17:00,347 2nd St, San Francisco, CA 94016
176586,USB-C Charging Cable,2,11.95,04/10/19 17:00,347 2nd St, San Francisco, CA 94016
176587,27in 4K Gaming Monitor,1,389.99,04/29/19 12:06,868 2nd St, San Francisco, CA 94016
176588,ThinkPad Laptop,1,999.99,04/08/19 13:46,359 West St, Boston, MA 02215
176589,Bose SoundSport Headphones,1,99.99,04/27/19 10:23,121 Elm St, New York City, NY 10001
176590,Apple Airpods Headphones,1,150,04/08/19 10:25,931 1st St, Boston, MA 02215
176591,AAA Batteries (4-pack),1,2.99,04/15/19 14:15,644 1st St, New York City, NY 10001
176592,Lightning Charging Cable,1,14.95,04/15/19 13:09,813 Hickory St, Los Angeles, CA 90001
176593,Apple Airpods Headphones,1,150,04/28/19 19:40,241 12th St, San Francisco, CA 94016
176594,Wired Headphones,1,11.99,04/18/19 17:40,514 Church St, Los Angeles, CA 90001
176595,27in 4K Gaming Monitor,1,389.99,04/21/19 13:16,956 10th St, Seattle, WA 98101
176596,Apple Airpods Headphones,1,150,04/23/19 19:54,845 Lake St, San Francisco, CA 94016
176597,AA Batteries (4-pack),1,3.84,04/17/19 12:21,957 Main St, New York City, NY 10001
176598,Lightning Charging Cable,1,14.95,04/17/19 11:29,285 Hill St, Los Angeles, CA 90001
176599,Vareebadd Phone,1,400,04/02/19 10:13,294 12th St, Los Angeles, CA 90001
176600,Bose SoundSport Headphones,1,99.99,04/08/19 12:41,289 1st St, New York City, NY 10001
176601,Lightning Charging Cable,1,14.95,04/25/19 17:51,999 14th St, Boston, MA 02215
176602,USB-C Charging Cable,1,11.95,04/21/19 11:46,804 1st St, San Francisco, CA 94016
176603,27in FHD Monitor,1,149.99,04/19/19 09:33,837 8th St, Dallas, TX 75001
176604,AA Batteries (4-pack),1,3.84,04/18/19 12:35,464 12th St, San Francisco, CA 94016
176605,USB-C Charging Cable,1,11.95,04/27/19 10:35,163 12th St, Dallas, TX 75001
176606,20in Monitor,1,109.99,04/30/19 15:48,737 14th St, Boston, MA 02215
176607,Apple Airpods Headphones,1,150,04/17/19 20:30,222 5th St, Los Angeles, CA 90001
176608,Apple Airpods Headphones,1,150,04/13/19 22:58,851 1st St, San Francisco, CA 94016
176609,Bose SoundSport Headphones,1,99.99,04/10/19 09:43,446 1st St, San Francisco, CA 94016
176610,34in Ultrawide Monitor,1,379.99,04/22/19 14:13,218 8th St, San Francisco, CA 94016
176611,Apple Airpods Headphones,1,150,04/07/19 13:21,581 10th St, New York City, NY 10001
176612,27in 4K Gaming Monitor,1,389.99,04/04/19 12:43,212 7th St, Los Angeles, CA 90001
176613,Wired Headphones,1,11.99,04/11/19 18:23,949 1st St, San Francisco, CA 94016
176614,Apple Airpods Headphones,1,150,04/25/19 14:45,910 1st St, Boston, MA 02215
176615,Lightning Charging Cable,1,14.95,04/20/19 18:03,639 Chestnut St, Boston, MA 02215
176616,27in 4K Gaming Monitor,1,389.99,04/03/19 15:23,391 10th St, San Francisco, CA 94016
176617,ThinkPad Laptop,1,999.99,04/17/19 14:32,831 2nd St, San Francisco, CA 94016
176618,USB-C Charging Cable,1,11.95,04/27/19 10:50,917 14th St, San Francisco, CA 94016
176619,USB-C Charging Cable,1,11.95,04/24/19 18:13,858 5th St, San Francisco, CA 94016
176620,Google Phone,1,600,04/20/19 10:29,200 12th St, Dallas, TX 75001
176621,iPhone,1,700,04/07/19 12:20,533 13th St, San Francisco, CA 94016
176622,Flatscreen TV,1,300,04/12/19 15:39,303 Madison St, Atlanta, GA 30301
176623,27in FHD Monitor,1,149.99,04/15/19 21:04,142 5th St, San Francisco, CA 94016
176624,AAA Batteries (4-pack),1,2.99,04/27/19 22:50,899 Wilson St, San Francisco, CA 94016
176625,Apple Airpods Headphones,1,150,04/12/19 19:22,863 Hill St, Boston, MA 02215
176626,20in Monitor,1,109.99,04/08/19 13:30,229 12th St, Los Angeles, CA 90001
176627,Bose SoundSport Headphones,1,99.99,04/02/19 16:32,192 10th St, New York City, NY 10001
176628,Apple Airpods Headphones,1,150,04/29/19 21:40,290 8th St, San Francisco, CA 94016
176629,USB-C Charging Cable,1,11.95,04/23/19 22:15,735 9th St, Boston, MA 02215
176630,Wired Headphones,1,11.99,04/14/19 21:45,969 13th St, New York City, NY 10001
176631,Vareebadd Phone,1,400,04/28/19 11:21,994 14th St, Los Angeles, CA 90001
176632,USB-C Charging Cable,1,11.95,04/19/19 10:13,102 Lincoln St, Portland, OR 97035
176633,27in 4K Gaming Monitor,1,389.99,04/30/19 13:00,812 1st St, Los Angeles, CA 90001
176634,34in Ultrawide Monitor,1,379.99,04/21/19 21:56,950 10th St, San Francisco, CA 94016
176635,Apple Airpods Headphones,1,150,04/21/19 11:02,326 1st St, San Francisco, CA 94016
176636,iPhone,1,700,04/17/19 18:29,918 10th St, Los Angeles, CA 90001
176637,AAA Batteries (4-pack),1,2.99,04/17/19 14:15,224 2nd St, San Francisco, CA 94016
176638,Bose SoundSport Headphones,1,99.99,04/27/19 09:28,922 Dogwood St, New York City, NY 10001
176639,Lightning Charging Cable,1,14.95,04/13/19 14:02,462 1st St, San Francisco, CA 94016
176640,27in FHD Monitor,1,149.99,04/22/19 11:40,317 Madison St, Atlanta, GA 30301
176641,27in 4K Gaming Monitor,1,389.99,04/29/19 18:13,293 2nd St, San Francisco, CA 94016
176642,Bose SoundSport Headphones,1,99.99,04/09/19 22:12,183 1st St, Dallas, TX 75001
176643,AAA Batteries (4-pack),1,2.99,04/04/19 19:35,537 14th St, San Francisco, CA 94016
176644,20in Monitor,1,109.99,04/02/19 14:18,527 Wilson St, San Francisco, CA 94016
176645,Macbook Pro Laptop,1,1700,04/22/19 11:25,970 8th St, San Francisco, CA 94016
176646,Macbook Pro Laptop,1,1700,04/26/19 08:35,162 1st St, San Francisco, CA 94016
176647,20in Monitor,1,109.99,04/24/19 22:24,201 1st St, San Francisco, CA 94016
176648,Google Phone,1,600,04/11/19 12:47,935 8th St, Austin, TX 73301
176649,ThinkPad Laptop,1,999.99,04/24/19 18:25,122 14th St, Los Angeles, CA 90001
176650,AA Batteries (4-pack),1,3.84,04/12/19 13:46,392 9th St, Boston, MA 02215
176651,iPhone,1,700,04/09/19 15:23,923 12th St, San Francisco, CA 94016
176652,LG Dryer,1,600.0,04/19/19 11:15,643 14th St, San Francisco, CA 94016
